index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db
23,Round Hammer / HEAVY,ROUND,HEAVY,1,1,0.922571,0.11076,9.06649,0.0395833,-3.62648e-07,-6.19159,-4.2979,-6.86862,-10.2336,-14.673,-14.813,-0.139745,-4.40763,0.85,-80.9994,-2.83781e-07,36.8242
24,Dark Pulse / HEAVY,ROUND,HEAVY,1,1,0.922571,0.118934,8.51933,0.0583333,-5.97889e-07,-5.66833,-4.07091,-6.76357,-9.30152,-13.638,-14.2529,0.544919,-3.43906,1.27778,-74.6761,-4.71315e-07,33.7432
25,Tight Basement / HEAVY,ROUND,HEAVY,1,1,0.922571,0.118341,8.59638,0.0520833,-4.63851e-07,-6.01767,-4.03718,-6.71441,-9.56424,-13.5883,-14.9228,0.358892,-3.58907,1.20833,-77.1685,-1.20764e-07,35.7075
26,Sub Foundation / HEAVY,ROUND,HEAVY,1,1,0.922571,0.112156,8.86214,0.0833333,-7.31387e-07,-5.66758,-4.06604,-6.91871,-9.7551,-14.7924,-14.5688,0.192765,-4.45262,1.33056,-93.0064,-9.56568e-08,43.577
27,Warm Reactor / HEAVY,ROUND,HEAVY,1,1,0.922571,0.116021,8.65247,0.08125,-8.94576e-07,-5.59265,-4.05781,-6.83975,-9.46264,-14.1245,-14.4402,0.429861,-3.60083,1.38056,-81.9017,-2.2247e-07,37.6042
28,Black Drum / HEAVY,ROUND,HEAVY,1,1,0.922571,0.12173,8.41896,0.06875,-4.58585e-07,-6.00364,-4.14576,-6.3985,-9.37589,-13.1943,-15.0961,0.597981,-3.1599,1.32778,-73.1825,2.04391e-06,33.7366
29,Sub Vault / HEAVY,ROUND,HEAVY,1,1,0.922571,0.122156,8.33162,0.0645833,-4.4428e-07,-5.78305,-3.9802,-6.50633,-9.10223,-13.2897,-14.8348,0.84217,-2.9322,1.46111,-76.6021,-1.01261e-06,35.51
30,Clean Weight / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.108034,9.29657,0.0125,-2.54233e-08,-6.23804,-4.40981,-7.177,-10.5171,-14.9772,-14.7016,-0.323573,-4.65736,0.588889,-76.2754,-6.77269e-07,33.797
31,Club Anchor / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114977,8.7864,0.0145833,-4.04751e-08,-5.85621,-4.15248,-6.91752,-9.73956,-14.0695,-13.9998,0.07709,-4.12007,1.15,-75.3604,-4.56551e-07,33.7451
32,Deep Concrete / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.11008,9.15122,0.025,-7.67727e-08,-6.13793,-4.36792,-7.09609,-10.2571,-14.7316,-14.6601,-0.176117,-4.47659,0.763889,-75.8283,5.49822e-07,33.7831
33,Round Hammer / SUSTAIN,ROUND,SUSTAIN,1,1,0.910851,0.105625,9.45148,0,4.49593e-08,-6.96495,-4.7326,-7.20559,-10.9286,-15.0444,-15.262,-0.84958,-5.0569,0.441667,-75.5067,-1.3275e-07,33.7986
34,Dark Pulse / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114596,8.8571,0.0291667,-2.97658e-07,-6.08929,-4.22646,-6.8011,-9.90446,-14.17,-14.732,0.123423,-3.88831,0.847222,-74.7258,-1.88491e-06,33.6404
35,Tight Basement / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.113485,9.01269,0.025,-6.74659e-08,-6.67076,-4.43157,-6.91785,-10.0806,-14.0669,-15.4073,-0.202675,-4.25937,0.705556,-73.9176,-6.94247e-07,33.6894
36,Sub Foundation / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.11228,8.99095,0.0458333,-2.28132e-07,-6.14463,-4.30511,-6.86898,-10.0793,-14.4639,-15.0846,-0.0789654,-4.40952,0.997222,-80.6089,5.81855e-07,37.0696
37,Warm Reactor / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114891,8.86038,0.04375,-3.69284e-07,-6.06968,-4.24474,-6.8243,-9.94613,-14.0709,-14.9736,0.11971,-3.87723,1.04722,-74.3215,-1.28715e-06,33.7646
38,Black Drum / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.115068,8.90066,0.0166667,-1.72643e-07,-6.47847,-4.54855,-6.63877,-9.95019,-13.9814,-15.5266,-0.0130228,-4.02565,0.669444,-73.798,-2.27757e-06,33.7234
39,Sub Vault / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.118246,8.65092,0.0270833,-7.71176e-08,-6.19445,-4.28662,-6.59158,-9.61527,-13.5959,-15.0634,0.18207,-3.64548,1.06111,-73.6831,2.83422e-06,33.7584
40,Clean Weight / MUTANT,ROUND,MUTANT,1,1,0.918176,0.102588,9.57702,0,6.46127e-11,-6.26568,-4.48175,-7.34505,-11.0352,-15.8839,-14.5391,-0.929466,-5.68207,0.580556,-89.9059,3.99127e-07,40.7194
41,Club Anchor / MUTANT,ROUND,MUTANT,1,1,0.922571,0.107865,9.1959,0.00416667,-1.59094e-08,-5.94358,-4.29018,-7.21467,-10.1842,-15.2331,-13.9253,-0.532032,-5.14932,0.861111,-89.5615,2.15488e-07,40.8938
42,Deep Concrete / MUTANT,ROUND,MUTANT,1,1,0.922571,0.104058,9.49585,0.00625,-1.95027e-08,-6.17011,-4.42965,-7.2452,-10.7968,-15.7807,-14.5783,-0.728324,-5.44562,0.594444,-90.6873,-1.70937e-07,41.4539
43,Round Hammer / MUTANT,ROUND,MUTANT,1,1,0.908545,0.0970151,9.91916,0,-6.43974e-09,-6.89639,-4.90819,-7.30187,-11.6855,-16.8334,-15.2659,-1.36224,-6.68638,0.413889,-101.763,2.62207e-08,47.3499
44,Dark Pulse / MUTANT,ROUND,MUTANT,1,1,0.922571,0.109185,9.1383,0.0104167,-1.30163e-08,-6.1021,-4.39535,-6.99825,-10.2375,-14.8256,-14.5169,-0.37542,-4.88283,0.658333,-86.0497,-1.99e-07,39.4918
45,Tight Basement / MUTANT,ROUND,MUTANT,1,1,0.918733,0.103107,9.54561,0,9.53296e-09,-6.7592,-4.55266,-7.127,-10.9124,-15.7911,-15.3858,-0.972265,-5.79045,0.538889,-97.2728,-5.97636e-08,45.7592
46,Sub Foundation / MUTANT,ROUND,MUTANT,1,1,0.922571,0.101125,9.64022,0.01875,-6.15151e-08,-6.2381,-4.4285,-7.04932,-11.1044,-16.7526,-15.2096,-0.972157,-6.4577,0.758333,-116.108,-4.34434e-09,55.6841
47,Warm Reactor / MUTANT,ROUND,MUTANT,1,1,0.922571,0.104517,9.41939,0.0291667,-9.55738e-08,-6.14584,-4.39194,-7.07701,-10.706,-15.8073,-14.8689,-0.7415,-5.79153,0.813889,-102.02,5.34763e-10,48.0806
48,Black Drum / MUTANT,ROUND,MUTANT,1,1,0.91827,0.110921,9.0905,0,2.53144e-08,-6.58023,-4.69329,-6.68289,-10.3111,-14.4822,-15.3829,-0.413293,-4.51902,0.65,-78.7061,-4.03457e-07,36.072
