display_name,family,wave,mode,tune,body,punch,length,drive,colour,metal,sub,impact,grit,shape,evolve,destroy,clipper,reverb,reverbDecay,width,space,calibration
Pressure Point / SUSTAIN,PUNCH,1,SUSTAIN,51.451,0.8154,0.8962,282.4446,0.1357,0.6864,0.2427,0.7729,0.8212999999999999,0.15159999999999998,0.4019,0.29410000000000003,0.1152,0.2826,0.0,400.0,1.0,0.0,-5.0
Warehouse Knock / SUSTAIN,PUNCH,1,SUSTAIN,52.567,0.5469,0.9387,291.1248,0.3471,0.4466,0.0663,0.8579,0.8695999999999999,0.1446,0.2617,0.2385,0.2514,0.1532,0.0,400.0,1.0,0.0,-5.0
Fast Driver / SUSTAIN,PUNCH,1,SUSTAIN,53.222,0.7983,0.6902999999999999,268.36859999999996,0.3407,0.4374,0.1389,0.8279000000000001,0.9369999999999999,0.2872,0.4179,0.2778,0.1382,0.27149999999999996,0.0,400.0,1.0,0.0,-5.0
Techno Nail / SUSTAIN,PUNCH,1,SUSTAIN,58.489,0.7347,0.8714,283.1208,0.155,0.3392,0.32030000000000003,0.8267,0.8772,0.3098,0.28709999999999997,0.2661,0.1996,0.23729999999999998,0.0,400.0,1.0,0.0,-5.0
Needle Punch / SUSTAIN,PUNCH,1,SUSTAIN,56.715,0.7734000000000001,0.6849999999999999,330.0,0.1354,0.5714,0.28390000000000004,0.7315,0.8833,0.31930000000000003,0.1431,0.1287,0.0863,0.20729999999999998,0.0,400.0,1.0,0.0,-5.0
Front Row / SUSTAIN,PUNCH,1,SUSTAIN,56.133,0.5547,0.9097,330.0,0.2317,0.6103000000000001,0.2682,0.678,0.76,0.22219999999999998,0.1642,0.2346,0.0943,0.0511,0.0,400.0,1.0,0.0,-5.0
Steel Toe / SUSTAIN,PUNCH,1,SUSTAIN,51.148,0.7005,0.8874,330.0,0.2712,0.6168,0.28269999999999995,0.8442000000000001,0.9216,0.1883,0.2146,0.3181,0.0798,0.2519,0.0,400.0,1.0,0.0,-5.0
Impact Driver / SUSTAIN,PUNCH,1,SUSTAIN,57.868,0.8347,0.9297,259.1226,0.4104,0.4174,0.156,0.6736000000000001,0.8984,0.3587,0.3454,0.2031,0.16,0.1407,0.0,400.0,1.0,0.0,-5.0
Concrete Punch / SUSTAIN,PUNCH,1,SUSTAIN,55.902,0.6726000000000001,0.8328,328.53659999999996,0.2496,0.6923,0.2852,0.8461000000000001,0.9229999999999999,0.2401,0.2145,0.3414,0.263,0.0717,0.0,400.0,1.0,0.0,-5.0
Clean Attack / MUTANT,PUNCH,1,MUTANT,51.471,0.7361,0.7569,159.6844,0.46,0.4175,0.2498,0.7277,0.892,0.38,0.2233,0.2666,0.1763,0.3031,0.0,400.0,1.0,0.0,-5.0
Pressure Point / MUTANT,PUNCH,1,MUTANT,51.451,0.7153999999999999,0.9812000000000001,188.2964,0.22569999999999998,0.7,0.3127,0.7229,0.9113,0.2266,0.44,0.3191,0.2002,0.34,0.0,400.0,1.0,0.0,-5.0
Warehouse Knock / MUTANT,PUNCH,1,MUTANT,52.567,0.4469,0.99,194.0832,0.43710000000000004,0.49660000000000004,0.1363,0.8079,0.9596,0.21960000000000002,0.3217,0.2635,0.3,0.24320000000000003,0.0,400.0,1.0,0.0,-5.0
Fast Driver / MUTANT,PUNCH,1,MUTANT,53.222,0.6982999999999999,0.7753,178.91240000000002,0.43069999999999997,0.48740000000000006,0.2089,0.7779,0.99,0.36219999999999997,0.44,0.3028,0.2232,0.34,0.0,400.0,1.0,0.0,-5.0
Techno Nail / MUTANT,PUNCH,1,MUTANT,58.489,0.6346999999999999,0.9564,188.7472,0.245,0.3892,0.34,0.7767,0.9672000000000001,0.38,0.34709999999999996,0.2911,0.2846,0.3273,0.0,400.0,1.0,0.0,-5.0
Needle Punch / MUTANT,PUNCH,1,MUTANT,56.715,0.6734,0.77,227.9116,0.2254,0.6214,0.34,0.6815,0.9733,0.38,0.2031,0.1537,0.1713,0.2973,0.0,400.0,1.0,0.0,-5.0
Front Row / MUTANT,PUNCH,1,MUTANT,56.133,0.4547,0.99,233.9284,0.3217,0.6603,0.3382,0.66,0.8468,0.2972,0.2242,0.2596,0.17930000000000001,0.1411,0.0,400.0,1.0,0.0,-5.0
Steel Toe / MUTANT,PUNCH,1,MUTANT,51.148,0.6004999999999999,0.9724,231.1224,0.36119999999999997,0.6668,0.34,0.7942,0.99,0.2633,0.2746,0.3431,0.1648,0.34,0.0,400.0,1.0,0.0,-5.0
Impact Driver / MUTANT,PUNCH,1,MUTANT,57.868,0.7346999999999999,0.99,172.7484,0.46,0.46740000000000004,0.226,0.66,0.9884000000000001,0.38,0.4054,0.22810000000000002,0.245,0.23070000000000002,0.0,400.0,1.0,0.0,-5.0
Concrete Punch / MUTANT,PUNCH,1,MUTANT,55.902,0.5726,0.9178000000000001,219.0244,0.3396,0.7,0.34,0.7961,0.99,0.31510000000000005,0.27449999999999997,0.36,0.3,0.1617,0.0,400.0,1.0,0.0,-5.0
Hard Clean,HARD,2,CORE,58.056,0.6754,0.9034,290.82,0.4678,0.4334,0.1476,0.8469,0.8764,0.5682,0.359,0.1768,0.6775,0.6815,0.0,400.0,1.0,0.0,-5.0
Peak Control,HARD,2,CORE,51.485,0.8502,0.8951,246.21,0.5911,0.3939,0.1456,0.725,0.7254,0.5759,0.3043,0.4272,0.6241,0.6902,0.0,400.0,1.0,0.0,-5.0
Flat Top,HARD,2,CORE,49.697,0.8243,0.8509,339.58,0.4719,0.5636,0.193,0.915,0.7702,0.9092,0.339,0.4535,0.7579,0.6394,0.0,400.0,1.0,0.0,-5.0
Redline,HARD,2,CORE,57.696,0.8373,0.804,248.91,0.6535,0.6143,0.2731,0.733,0.7266,0.7887,0.6133,0.3801,0.8972,0.6684,0.0,400.0,1.0,0.0,-5.0
Block Maker,HARD,2,CORE,51.815,0.6344,0.5949,337.24,0.638,0.4479,0.2408,0.7339,0.7941,0.7675,0.4253,0.2314,0.5205,0.7188,0.0,400.0,1.0,0.0,-5.0
Crushed Rail,HARD,2,CORE,50.121,0.8969,0.6323,311.04,0.8147,0.565,0.3089,0.9432,0.6954,0.6036,0.3919,0.2401,0.9074,0.6812,0.0,400.0,1.0,0.0,-5.0
Clipped Concrete,HARD,2,CORE,49.478,0.7029,0.7222,246.44,0.553,0.5551,0.085,0.8095,0.8484,0.8206,0.3217,0.4383,0.7873,0.7812,0.0,400.0,1.0,0.0,-5.0
Hammer Hall,HARD,2,CORE,55.309,0.6337,0.8587,273.96,0.4611,0.2815,0.0903,0.7683,0.953,0.9066,0.709,0.172,0.8602,0.7477,0.0,400.0,1.0,0.0,-5.0
Main Room Block,HARD,2,CORE,52.868,0.8626,0.8058,358.93,0.5146,0.2872,0.2862,0.9221,0.903,0.745,0.3839,0.115,0.7329,0.9102,0.0,400.0,1.0,0.0,-5.0
Guillotine,HARD,2,CORE,51.639,0.6973,0.6083,353.89,0.6174,0.2627,0.1414,0.7592,0.8765,0.6206,0.4057,0.4295,0.8534,0.9484,0.0,400.0,1.0,0.0,-5.0
Hard Clean / TIGHT,HARD,2,TIGHT,59.355999999999995,0.6053999999999999,0.94,209.3904,0.5128,0.4534,0.1476,0.7469,0.9513999999999999,0.6182000000000001,0.409,0.15180000000000002,0.6775,0.6815,0.0,400.0,1.0,0.0,-5.0
